,hmean,smean,vmean,hmax,smax,vmax
0,26.736938854489164,26.806630546955624,26.8000193498452,255,255,255
1,44.47649714268882,46.43224564039119,48.140078207847296,249,255,255
2,18.239473663284457,18.60267899742358,19.514660334298163,255,255,255
3,6.49595557271196,6.627745999438518,6.899503439079169,231,240,255
4,21.602901453055143,21.52029387108793,21.91903409090909,255,255,255
5,17.032222988505747,17.378601149425286,18.02611724137931,255,255,255
6,15.076066616766466,15.744676915253462,16.134315219751336,255,255,255
7,6.42558094651255,6.435536361833532,6.36746239163692,255,255,255
8,26.31683236751305,26.61982023577811,26.903739604529772,255,255,255
9,10.250377369703452,10.260498009151958,10.245320021394187,255,255,255
10,7.169124497401197,7.366023707953319,7.703704214474845,255,255,255
11,32.45142525811761,32.779184747368944,33.97993977255724,255,255,255
12,29.995565476190475,29.852440476190477,29.498244047619046,255,255,255
13,45.9839264523056,46.35425202023056,47.80740704113924,255,255,255
14,18.238421509520357,18.56286130613958,19.432057751745717,255,255,255
15,8.314689217032967,8.301120015963766,8.27962577962578,255,255,255
16,14.029860027699948,14.390552367231278,14.826817610163015,255,255,255
17,4.631859114799598,4.7733224244940775,4.719033078915162,255,255,255
18,19.33163553906002,19.547702395601778,19.920424886868847,255,255,255
19,26.83680237310808,26.98216143575516,27.408469886133748,255,255,255
20,27.594800631472154,27.85095573572628,28.61245036558914,255,255,255
21,21.514316042236498,21.468001740165565,21.415626391450925,255,255,255
22,27.103121579091408,27.67647954296661,28.722394122879038,255,255,255
23,0.0,0.0,0.0,0,0,0
24,7.03248046875,6.836911272321428,6.560447823660715,255,255,255
25,24.976472073092648,25.23848179251014,25.163623534015226,255,255,255
26,38.25104391586981,39.41330428648136,39.96894243182415,255,255,255
27,22.787867903169627,23.07837643678161,23.49165469348659,255,255,255
28,1.9903078134062475,2.034808186262325,2.095469798657718,255,255,255
29,23.072086902860462,23.219143555491023,23.59268186438217,245,246,251
30,14.426673548125084,14.617942838770814,15.364512826587248,255,255,255
31,33.22543491946121,34.20125829369679,34.62853231544027,255,255,255
32,3.911548308322502,3.893016660758596,3.8887835282996575,249,245,248
33,16.38168166738427,17.124085742832225,17.618946927543913,255,255,255
34,28.83325243517178,29.4040739765697,29.93065519283928,255,255,255
35,44.30867203665386,44.42729825598581,44.91269767957434,255,255,255
36,36.206609197153234,37.0852133551878,37.93101678081357,255,255,255
37,30.72542938931298,31.266750061466773,31.598091456703976,255,255,255
38,28.15013299881721,28.39435679896206,28.43089760523971,255,255,255
39,5.775759955685061,5.905089009287925,6.204169322527773,255,255,255
40,16.46227883751469,16.283098348192688,16.30500725689405,255,255,255
41,22.35821740752585,23.09539894467541,23.958866325551647,254,255,255
42,25.50481754779483,25.14541307060414,24.898043271587515,255,255,255
43,4.715956565213818,4.762130852258719,4.807621120181903,255,255,255
44,34.23044951375957,34.3768156424581,34.14471084212704,255,255,255
45,6.268686995967742,6.261743951612903,6.256483114919355,255,255,255
46,35.44868607954545,35.727008006198346,35.665137525826445,255,255,255
47,23.91715297281543,23.304119084839172,22.960401376450637,255,255,255
48,30.794952523738132,29.7888868065967,29.245066008662334,255,254,253
49,26.134911327231123,26.085536803966438,26.64863272311213,255,255,255
50,6.54548010651629,6.834078947368421,6.987898652882206,255,255,255
51,28.518115901329978,28.453813016714594,28.043709187035706,255,255,255
52,13.515194127700823,13.839834283564194,14.363997410780337,255,255,255
53,26.783571728979986,27.639226133255512,27.98650199986267,255,255,255
54,38.17363414374391,37.49435172224927,37.3774456852483,255,255,255
55,17.59448724678854,17.683952723567195,17.429111083662715,255,255,255
56,29.679078014184398,30.79442932541646,31.107465363681346,255,255,255
57,23.427889914001838,23.481352801202306,23.459696710361527,255,255,255
58,26.38051334167188,26.628674692516157,26.75279080675422,255,255,255
59,27.905112794879933,28.235289061673544,28.46429208981276,255,255,255
60,35.59024645105385,35.94510841170324,36.93993313071845,255,255,255
61,22.582942251988413,23.078288283963065,23.90749675932594,255,255,255
62,6.450782865749483,6.2808102351407245,5.936006485477924,255,255,255
63,34.230300019348284,34.61855309088857,34.84166653230358,255,255,255
64,6.308952915843757,6.495984028692122,6.743577017500549,255,255,255
65,49.50493252163708,49.8506012338435,49.820392849575406,255,255,255
66,29.31386758118701,30.007070268756998,30.843297872340425,255,255,255
67,7.636306001690617,7.665169766131305,7.4714708368554525,236,237,233
68,35.67324849150243,36.29618992787775,37.41602064588689,255,255,255
69,10.728593260349662,11.067803686293914,11.330693087168068,255,255,255
70,17.531241961414793,17.927069935691318,18.810036173633442,255,255,255
71,23.11735771648045,23.074608647579144,22.91287971368715,255,255,255
72,35.847399876499644,36.10865090566926,36.972059882968715,255,255,255
73,14.007287671656563,14.411720586415935,14.860395016289331,255,255,255
74,34.809262179297654,34.01040229460268,34.97319507407772,255,255,255
75,22.22947243936947,21.860986559101367,21.308605640747146,255,255,255
76,11.739028489116517,12.139959072617524,12.689579522590085,255,255,255
77,25.861065501780377,26.982985941575066,27.721833653880505,255,255,255
78,26.676111111111112,26.86673780487805,27.542232384823848,255,255,255
79,22.339431178321533,22.989697837742725,23.800541728770753,255,255,255
80,1.4301517605934009,1.4211622900503027,1.4873177593997784,251,246,240
81,33.74077886583481,33.94936059244407,34.28984809967955,255,255,255
82,1.0605083975920764,1.0607224189753766,1.0819487353377037,255,255,255
